book_id,discipline,title,family,feature_id,feature_label,count,rate_per_10k_words,segment_coverage_pct,dispersion_evenness
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,function,conceptual_continuity,Conceptual continuity,0,0.0,0.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,function,reader_engagement,Reader engagement and self-monitoring,0,0.0,0.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,function,multimodal_scaffolding,Multimodal and numeric scaffolding,2,20.408,40.0,0.3876
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,modal_auxiliary,Modal auxiliaries,14,142.857,100.0,0.6727
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,epistemic_hedge,Epistemic hedges,1,10.204,20.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,booster,Boosters and emphasis,0,0.0,0.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,passive_candidate,Passive candidates,29,295.918,100.0,0.6408
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,conditional_clause,Conditional clauses,8,81.633,80.0,0.625
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,concessive_clause,Concessive clauses,4,40.816,20.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,causal_clause,Causal and result clauses,1,10.204,20.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,relative_clause_candidate,Relative-clause candidates,10,102.041,100.0,0.7261
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,that_complement_candidate,That-clause candidates,1,10.204,20.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,to_infinitive,To-infinitive constructions,22,224.49,100.0,0.7449
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,ing_form_candidate,-ing form candidates,8,81.633,80.0,0.625
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,existential_there,Existential there,2,20.408,40.0,0.3876
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,extraposition_it,Extraposition with it,1,10.204,20.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,negation,Negation,3,30.612,40.0,0.3333
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,interrogative,Interrogatives,0,0.0,0.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,nominalisation_candidate,Nominalisation candidates,54,551.02,100.0,0.8645
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,coordination,Coordination,22,224.49,100.0,0.69
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,endophoric_reference,Endophoric and cross-reference forms,5,51.02,40.0,0.2254
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,grammar,reader_reference,Reader reference,2,20.408,20.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,function,meaning_access,Access to disciplinary meanings,1,10.02,20.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,function,orientation,Orientation and navigation,0,0.0,0.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,function,rhetorical_relation,Rhetorical relations and importance,1,10.02,20.0,0.0
IR_Baylis,International Relations,The Globalization of World Politics,function,background_knowledge,Background knowledge support,0,0.0,0.0,0.0
